St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,CHEM 357,B,L,Physical Lab,,0.25 ,Y,WRI,W 0100-0500PM,RNS 392,"Schwinefus, Jeffrey J."
C,CHEM 371,,,Physical Chemistry Students in Chem 371 must also register for Chem 357 AL or BL.,,1.00 ,N,IST,MWF 0905-1000,RNS 190,"Schwinefus, Jeffrey J."
O,CHEM 374,,L,Adv Synthesis Lab,,0.25 ,Y,,Th 0100-0500PM,,"Gittins, Peter J."
O,CHEM 375,,L,Advanced Lab,,0.25 ,Y,,,,"Abdella, Beth"
C,CHEM 379,,,Biochemistry I,,1.00 ,N,IST,MWF 1150-1245PM,RNS 290,"Abdella, Beth"
O,CHEM 385,,,Biochemistry II,,1.00 ,N,,MWF 1045-1140,RNS 435,"Klein, Jennifer C."
O,CHEM 386,,,Adv Inorganic Chem,,1.00 ,N,,MWF 1150-1245PM,RNS 435,"Miessler, Gary"
O,CHEM 388,,,Adv Organic Chemistry,,1.00 ,N,,T 0800-0925 Th 0800-0920,RNS 316 RNS 316,"Hanson, Robert"
O,CHEM 390,,S,Sem: Lit of Chemistry This course open to seniors only.,,0.25 ,Y,,M 0730-0930PM,RNS 316,"Hanson, Robert"
C,CHEM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 398,,,IR/Voltammetry of Glucose,,1.00 ,N,,,,"Beussman, Douglas J."
C,CHEM 398,A,,IR/RNA ND Simulations,,1.00 ,N,,,,"Schwinefus, Jeffrey J."
O,CHEM 398,B,,IR/RNA Simulation,,1.00 ,N,,,,"Schwinefus, Jeffrey J."
O,CHEM 398,C,,IR/Myosin Oxidation,,1.00 ,N,,,,"Klein, Jennifer C."
O,CHEM 398,D,,IR/CE Analy of Gunpowder,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,E,,IR/Maldi-Tof Proteomics,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,F,,IR/Robot HPLC Analysis,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,G,,IR/Organomet Synth II,,1.00 ,N,WRI,,,"Miessler, Gary"
O,CHEM 398,H,,IR/FRET Lab Development,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,I,,IR/Porphyrin Synthesis,,1.00 ,N,WRI,,,"Gittins, Peter J."
O,CHEM 398,J,,IR/Organomet Synthesis,,1.00 ,N,WRI,,,"Miessler, Gary"
